line_id,country,usergroup,type,month,week,day,channel,order_id,product_category,product_description,item_code,order_value,cancelled_value,returned_value,expected_revenue,order_value_usd,cancelled_value_usd,returned_value_usd,expected_revenue_usd,order_quantity,cancelled_quantity,returned_quantity,quantity
18874,Online Shop UK,,Cancellation,2016-09,38,21-09-16,WEB,SUKLUT-KDBK-SFAG,TV,"75 JU7000 7 Series Flat UHD 4K Smart 3D LED TV""",UE75JU7000TXXU,4000,0,0,4000,5280,0,0,5280,1,0,0,1
18882,Online Shop UK,,Cancellation,2016-09,38,21-09-16,WEB,SUKLQC-FABK-HEGZ,TV,"75 JU7000 7 Series Flat UHD 4K Smart 3D LED TV""",UE75JU7000TXXU,4000,0,0,4000,5280,0,0,5280,1,0,0,1
18892,Online Shop UK,,Cancellation,2016-09,38,21-09-16,WEB,SUKLWF-WPAM-AGQQ,SMARTPHONE,Galaxy S6 Blue 32 GB,SM-G920FZBABTU,349,0,0,349,460.68,0,0,460.68,1,0,0,1
18967,Online Shop UK,,Cancellation,2016-09,38,21-09-16,WEB,SUKLZJ-YVUL-GSHF,TABLET,Galaxy Tab A,SM-T585NZKABTU,1200,0,0,1200,1584,0,0,1584,1,0,0,1
18984,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLAM-XOSM-GIBU,TABLET,Galaxy Tab A,SM-T585NZKABTU,1200,0,0,1200,1584,0,0,1584,1,0,0,1
18986,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLYB-GDFF-NVQG,SMARTPHONE,Galaxy S5 Neo Black 16 GB,SM-G903FZKABTU,55.31,0,0,55.31,73.0092,0,0,73.0092,1,0,0,1
18987,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLYB-GDFF-NVQG,TV,"85 JU7000 7 Series Flat UHD 4K Smart 3D LED TV""",UE85JU7000TXXU,1344.69,0,0,1344.69,1774.9908,0,0,1774.9908,1,0,0,1
18989,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLYB-GDFF-NVQG,SMARTPHONE,Galaxy S7 edge Gold 32 GB,SM-G935FZDABTU,639,0,0,639,843.48,0,0,843.48,1,0,0,1
18990,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLFG-HYCP-RISR,SMARTPHONE,Galaxy S7 edge Gold 32 GB,SM-G935FZDABTU,639,0,0,639,843.48,0,0,843.48,1,0,0,1
18992,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLOC-VWNT-DSLI,SMARTPHONE,Galaxy S7 edge Gold 32 GB,SM-G935FZDABTU,639,0,0,639,843.48,0,0,843.48,1,0,0,1
18993,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLOC-VWNT-DSLI,TV,"75 JU7000 7 Series Flat UHD 4K Smart 3D LED TV""",UE75JU7000TXXU,4000,0,0,4000,5280,0,0,5280,1,0,0,1
19010,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLVZ-UQTP-QIJY,TV,"85 JU7000 7 Series Flat UHD 4K Smart 3D LED TV""",UE85JU7000TXXU,7999,0,0,7999,10558.68,0,0,10558.68,1,0,0,1
19012,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLVZ-UQTP-QIJY,SMARTPHONE,Galaxy S7 edge Gold 32 GB,SM-G935FZDABTU,1278,0,0,1278,1686.96,0,0,1686.96,2,0,0,2
19013,Online Shop UK,,Cancellation,2016-09,39,21-09-16,WEB,SUKLVZ-UQTP-QIJY,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,639,0,0,639,843.48,0,0,843.48,1,0,0,1
19060,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLWN-RFFB-KBSJ,SMARTPHONE,Galaxy S7 edge Gold 32 GB,SM-G935FZDABTU,0,0,-1278,-1278,0,0,-843.48,-843.48,0,0,-2,-2
19064,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLHR-UNUD-CFWF,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,0,0,-639,-639,0,0,-843.48,-843.48,0,0,-1,-1
19066,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLTC-UQPU-NGZC,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,0,0,-639,-639,0,0,-843.48,-843.48,0,0,-1,-1
19068,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLZR-GOPB-TVRJ,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,0,0,-639,-639,0,0,-843.48,-843.48,0,0,-1,-1
19082,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLXH-LUDA-WHIL,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,0,0,-639,-639,0,0,-843.48,-843.48,0,0,-1,-1
19084,Online Shop UK,,RETURN,2016-09,39,21-09-16,WEB,SUKLUU-YRAL-JMAO,SMARTPHONE,Galaxy S7 edge Black 32 GB,SM-G935FZKABTU,0,0,-639,-639,0,0,-843.48,-843.48,0,0,-1,-1
